,raceId,driverId,lap,position,time_x,milliseconds,year,round,circuitId,name,date,time_y,url
125,1006,815,27,15,1:41.954,101954,2018,18,69,United States Grand Prix,2018-10-21,18:10:00,https://en.wikipedia.org/wiki/2018_United_States_Grand_Prix
126,134,31,58,4,1:17.227,77227,2002,11,8,French Grand Prix,2002-07-21,\N,http://en.wikipedia.org/wiki/2002_French_Grand_Prix
127,941,13,46,7,1:40.897,100897,2015,15,71,Russian Grand Prix,2015-10-11,11:00:00,https://en.wikipedia.org/wiki/2015_Russian_Grand_Prix
128,934,20,27,6,1:38.035,98035,2015,9,9,British Grand Prix,2015-07-05,12:00:00,http://en.wikipedia.org/wiki/2015_British_Grand_Prix
129,232,84,41,7,1:20.912,80912,1996,9,8,French Grand Prix,1996-06-30,\N,http://en.wikipedia.org/wiki/1996_French_Grand_Prix
130,23,13,67,3,2:05.905,125905,2008,6,6,Monaco Grand Prix,2008-05-25,12:00:00,http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix
131,1020,822,3,2,2:05.182,125182,2019,11,10,German Grand Prix,2019-07-28,13:10:00,https://en.wikipedia.org/wiki/2019_German_Grand_Prix
132,849,3,17,9,1:42.083,102083,2011,9,9,British Grand Prix,2011-07-10,12:00:00,http://en.wikipedia.org/wiki/2011_British_Grand_Prix
133,1002,822,50,4,1:23.665,83665,2018,14,14,Italian Grand Prix,2018-09-02,13:10:00,https://en.wikipedia.org/wiki/2018_Italian_Grand_Prix
134,26,22,19,11,1:33.670,93670,2008,9,9,British Grand Prix,2008-07-06,12:00:00,http://en.wikipedia.org/wiki/2008_British_Grand_Prix
135,886,154,20,9,1:20.942,80942,2013,7,7,Canadian Grand Prix,2013-06-09,18:00:00,http://en.wikipedia.org/wiki/2013_Canadian_Grand_Prix
136,865,8,10,7,1:21.385,81385,2012,6,6,Monaco Grand Prix,2012-05-27,12:00:00,http://en.wikipedia.org/wiki/2012_Monaco_Grand_Prix
137,14,17,24,9,2:41.090,161090,2009,14,15,Singapore Grand Prix,2009-09-27,12:00:00,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix
138,973,154,38,11,1:28.233,88233,2017,5,4,Spanish Grand Prix,2017-05-14,12:00:00,https://en.wikipedia.org/wiki/2017_Spanish_Grand_Prix
139,150,18,39,14,1:18.770,78770,2001,10,8,French Grand Prix,2001-07-01,\N,http://en.wikipedia.org/wiki/2001_French_Grand_Prix
140,238,49,29,12,1:26.168,86168,1996,15,27,Portuguese Grand Prix,1996-09-22,\N,http://en.wikipedia.org/wiki/1996_Portuguese_Grand_Prix
141,989,154,11,5,1:29.628,89628,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,https://en.wikipedia.org/wiki/2018_Australian_Grand_Prix
142,83,11,58,8,1:24.388,84388,2005,13,11,Hungarian Grand Prix,2005-07-31,14:00:00,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix
143,158,35,56,4,1:33.663,93663,2000,1,1,Australian Grand Prix,2000-03-12,\N,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
144,982,817,6,2,2:05.389,125389,2017,14,15,Singapore Grand Prix,2017-09-17,12:00:00,https://en.wikipedia.org/wiki/2017_Singapore_Grand_Prix
145,913,154,2,15,1:56.773,116773,2014,14,15,Singapore Grand Prix,2014-09-21,12:00:00,http://en.wikipedia.org/wiki/2014_Singapore_Grand_Prix
146,1033,841,17,18,1:26.442,86442,2020,3,11,Hungarian Grand Prix,2020-07-19,13:10:00,https://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix
147,27,14,61,13,1:18.078,78078,2008,10,10,German Grand Prix,2008-07-20,12:00:00,http://en.wikipedia.org/wiki/2008_German_Grand_Prix
148,1019,826,10,15,1:32.539,92539,2019,10,9,British Grand Prix,2019-07-14,13:10:00,https://en.wikipedia.org/wiki/2019_British_Grand_Prix
149,83,17,66,7,1:23.472,83472,2005,13,11,Hungarian Grand Prix,2005-07-31,14:00:00,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix
150,169,56,13,7,1:22.346,82346,2000,12,11,Hungarian Grand Prix,2000-08-13,\N,http://en.wikipedia.org/wiki/2000_Hungarian_Grand_Prix
151,202,65,58,10,1:22.215,82215,1998,12,11,Hungarian Grand Prix,1998-08-16,\N,http://en.wikipedia.org/wiki/1998_Hungarian_Grand_Prix
152,994,842,3,10,1:19.812,79812,2018,6,6,Monaco Grand Prix,2018-05-27,13:10:00,https://en.wikipedia.org/wiki/2018_Monaco_Grand_Prix
153,151,56,59,9,1:24.544,84544,2001,11,9,British Grand Prix,2001-07-15,\N,http://en.wikipedia.org/wiki/2001_British_Grand_Prix
154,841,17,39,3,1:30.739,90739,2011,1,1,Australian Grand Prix,2011-03-27,06:00:00,http://en.wikipedia.org/wiki/2011_Australian_Grand_Prix
155,19,1,39,5,1:37.148,97148,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix
156,866,3,38,9,1:31.655,91655,2012,7,7,Canadian Grand Prix,2012-06-10,18:00:00,http://en.wikipedia.org/wiki/2012_Canadian_Grand_Prix
157,203,55,40,3,2:13.429,133429,1998,13,13,Belgian Grand Prix,1998-08-30,\N,http://en.wikipedia.org/wiki/1998_Belgian_Grand_Prix
158,965,815,28,11,2:03.502,123502,2016,18,69,United States Grand Prix,2016-10-23,19:00:00,https://en.wikipedia.org/wiki/2016_United_States_Grand_Prix
159,137,2,28,13,1:52.135,112135,2002,14,13,Belgian Grand Prix,2002-09-01,\N,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix
160,223,76,61,9,1:26.783,86783,1997,17,26,European Grand Prix,1997-10-26,\N,http://en.wikipedia.org/wiki/1997_European_Grand_Prix
161,143,55,55,7,1:34.961,94961,2001,3,18,Brazilian Grand Prix,2001-04-01,\N,http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix
162,900,16,27,11,1:37.286,97286,2014,1,1,Australian Grand Prix,2014-03-16,06:00:00,https://en.wikipedia.org/wiki/2014_Australian_Grand_Prix
163,855,813,50,15,1:37.645,97645,2011,15,22,Japanese Grand Prix,2011-10-09,06:00:00,http://en.wikipedia.org/wiki/2011_Japanese_Grand_Prix
164,885,819,6,16,1:23.134,83134,2013,6,6,Monaco Grand Prix,2013-05-26,12:00:00,http://en.wikipedia.org/wiki/2013_Monaco_Grand_Prix
165,142,4,2,20,2:01.986,121986,2001,2,2,Malaysian Grand Prix,2001-03-18,\N,http://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix
166,1018,826,33,17,1:31.541,91541,2019,9,70,Austrian Grand Prix,2019-06-30,13:10:00,https://en.wikipedia.org/wiki/2019_Austrian_Grand_Prix
167,132,37,31,9,1:37.081,97081,2002,9,20,European Grand Prix,2002-06-23,\N,http://en.wikipedia.org/wiki/2002_European_Grand_Prix
168,59,8,29,2,1:17.900,77900,2006,7,6,Monaco Grand Prix,2006-05-28,14:00:00,http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix
169,237,79,50,10,1:28.980,88980,1996,14,14,Italian Grand Prix,1996-09-08,\N,http://en.wikipedia.org/wiki/1996_Italian_Grand_Prix
170,36,5,8,11,1:29.817,89817,2007,1,1,Australian Grand Prix,2007-03-18,03:00:00,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix
171,120,8,26,2,1:23.457,83457,2003,13,11,Hungarian Grand Prix,2003-08-24,\N,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix
